ameacas;ano;quantidade
Lixo;2015;48
Lixo;2016;42
Lixo;2017;68
Lixo;2018;178
Lixo;2019;103
Esgoto;2015;31
Esgoto;2016;29
Esgoto;2017;31
Esgoto;2018;80
Esgoto;2019;81
Atividade Petrolífera;2015;33
Atividade Petrolífera;2016;39
Atividade Petrolífera;2017;29
Atividade Petrolífera;2018;67
Atividade Petrolífera;2019;16
Atividade portuária;2015;12
Atividade portuária;2016;11
Atividade portuária;2017;22
Atividade portuária;2018;45
Atividade portuária;2019;22
Mudanças climáticas;2015;2
Mudanças climáticas;2016;7
Mudanças climáticas;2017;4
Mudanças climáticas;2018;11
Mudanças climáticas;2019;7
Vazamento de óleo;2015;6
Vazamento de óleo;2016;0
Vazamento de óleo;2017;11
Vazamento de óleo;2018;9
Vazamento de óleo;2019;5
Pesca Predatória;2015;2
Pesca Predatória;2016;0
Pesca Predatória;2017;6
Pesca Predatória;2018;9
Pesca Predatória;2019;1
